park_name,author_name,rating,text,time
Schuylkill Banks,Anwar Md Hossain,5,"Schuylkill Banks is a prime example of urban revitalization, transforming the Philadelphia waterfront into a vibrant and welcoming space for all. Its well-designed pathways and green spaces encourage outdoor activities, offering a refreshing escape from the city’s hustle and bustle. The integration of nature and city life here exemplifies the potential for urban areas to provide residents with a balanced and healthy lifestyle. As a place that promotes community engagement and appreciation for the environment, Schuylkill Banks stands out as a successful model for urban parks.",2024-03-02 03:29:21
Schuylkill Banks,Jeffrey Hsu,5,"So fortunate to have this artery running through the city. Just fantastic river side to run walk or bike.

You’ll see people exercising from early morning to late at night. They have events during the summer like movie nights and you’ll see groups of people hanging out and enjoying the evening time.

Not the entire length is lit up at night so you do have to be mindful about that. I would be nervous walking by myself and having dark corners here and there but that’s more a night thing than anything else.

When the river gets flooded parts get impacted but the city does a good job maintaining the length of the park and it’s a great way to get to Kelly drive and the art museum!",2022-07-08 02:20:33
Schuylkill Banks,The Duke Of Legends,5,"I love this park, it is a long walk with lots of sights and people going about working out or socializing. You can sit on the grass for a picnic and chat with friends. Went there first in 2019. It is ine of my fav parks..... although I wish they the restrooms were cleaned on a daily basis, my only complaint.",2022-07-11 03:15:24
Schuylkill Banks,John Panto Gilkin,5,"The city has just done an incredible renovation of the now completed trail n bike and walk bridges. And as you can see, the fish are back. Get there and escape. Pleasant people n gr8 food right there...",2019-10-16 10:16:01
Schuylkill Banks,Rick S.,5,"I absolutely love the Schuylkill Banks such a great outdoor area and can’t wait until 2020 when it’s completed. Great well kept area along the banks of the Schuylkill to take a nice walk, jog, run, Segway or bike!",2019-09-26 15:01:04
Schuylkill River Park,Will,5,"Schuylkill River Park is an absolute gem for running enthusiasts! The park's well-maintained trails, scenic views, and ample space make it an ideal spot for a fulfilling run. The pathways along the river offer a refreshing and calming ambiance, perfect for both beginners and seasoned runners. With its peaceful atmosphere and variety of routes, Schuylkill River Park truly stands out as a top-notch destination for anyone looking to lace up their running shoes and enjoy a rejuvenating workout amidst nature's beauty.",2023-11-20 12:54:10
Schuylkill River Park,D Masterson,5,Beautiful trail along the river and there’s a few free power stations along the way if you look for them. Plenty of benches to sit and enjoy the view of the river and people on the trail.,2023-09-07 23:10:39
Schuylkill River Park,Bolo 'Ye,5,"I drive for 25 minutes to come run here it’s beautiful,safe and fun. It’s not too crowded It goes more than four miles stretch west .  You can have a nice picnic, yoga sessions, workouts while enjoying the beautiful view and cool breeze. There’s kayaking place within for boat rentals and they close at 9pm. Kayaking at night is gorgeous good  view of the bridge I highly recommend this Place. It’s 24/7 safe at night too for a walk or run.",2022-08-29 15:36:24
Schuylkill River Park,Lucian Gmail,5,Such a nice park. I take my border collie and he truly enjoys the crowd.,2024-03-02 18:14:18
Schuylkill River Park,Jisha Mohan,4,A good park with beautiful city view. A community garden with kids play area and a separate Play area specifically for dogs too.,2023-07-25 02:29:30
Wissahickon Valley Park,Steven Murrow,5,"Wissahickon Valley Park in PA is a serene oasis with scenic trails along Wissahickon Creek. Nature lovers will appreciate its diverse landscapes and historic charm. Great for hiking, biking, and unwinding amid lush greenery. And if you have time, stop by the Valley Garden Inn for some delicious food and drinks!",2024-02-25 03:05:02
Wissahickon Valley Park,Christopher Sheldon-Dante,5,"This is a great park that I have enjoyed hiking immensely. It has miles of interesting trails punctuated by beautiful bridges that overlook Wissahickon Creek. There are unique places like the Devil's Pool, the Teedyuscung Statue and Rittenhouse Village. There is also mica and garnet throughout the stone which looks super cool on sunny days.",2023-12-21 03:22:29
Wissahickon Valley Park,Zahra Rose,5,"Went for a solo walk (as a Brit) and felt safe, at peace and thoroughly enjoyed the views. Absolutely outstanding park. Well signposted for historical landmarks (plenty of them) and the route is well marked too. Beautiful birds weee spotted and the autumn colours thought enjoyed as well. Looking forward to looping the route next time!",2023-11-14 19:23:24
Wissahickon Valley Park,Armeno P,5,"An absolute gem, one of the best parts of living in Philadelphia is having access to such amazing nature. Beautiful year round and full of biking and hiking trails.",2024-02-13 18:46:35
Wissahickon Valley Park,Shiann Wilson,4,"Very minimal parking, but a few different logs so go early and plan ahead by checking out where all the lots are. Beautiful fall foliage at the moment. Easy trails, not many exciting views but it’s a pleasant walk. Four stars because of parking, dogs off leash, and quite a bit of trash.",2023-11-08 20:27:24
West Fairmount Park,Ka Fix,5,love this park 💜💜💜 especially in the spring,2024-02-28 14:42:32
West Fairmount Park,Gilbert Kendrick,5,I love the love to jogging the deers chased after me the other day at night but at night you hear a lot of creeping things so I try not to do no more running at night but it's a beautiful place here in Philly now the trees are turning color it's very quiet not too many people running in the cold but I love it thank you Jesus,2022-11-25 13:47:08
West Fairmount Park,GR Jiang,5,Wonderful!!,2023-04-05 00:17:37
West Fairmount Park,Maltenaj Neuson,5,Awesome! Sooo glad they opened back up,2021-08-26 20:16:21
West Fairmount Park,Gregory Love,5,Beautiful spot.,2021-07-17 21:27:38
Pennypack Park,Angela Z-Frace,4,"It's my hiking group's favorite trail to go for a long hike when we go to Philly area. But some parts of the trail can be very muddy after some rains.

The trails runs mostly along the Pennypack Creek, which can cause flooding after heavy rains. And there are a lot of parking lots along the trail. Many more f them have picnic areas. Some have pavilions. They are also good places to go for water fun during summer.",2023-12-22 04:03:51
Pennypack Park,Tiago Raicherdt,4,"I really like going to Pennypack park. I live next to the reserve and often go with my family, dogs, MTB and run. Very beautiful park! Unfortunately, on weekends and holidays people have been partying by the creek and leaving a huge amount of rubbish. Little by little, what was beautiful has become a real and sad scene! I would like to ask the community for help in making reports to capable authorities. Let’s take care of nature for us and next generation.",2023-09-15 11:07:14
Pennypack Park,alex johnson,4,"trash cans need attention, but it is a very big park with lots of visitors. we will definitely go back.",2024-03-06 10:14:59
Pennypack Park,Ania Stacey,5,"I love Pennypack. I am there almost every day. My kids grew up coming to this park and we have a lot of fond memories. It’s a shame that the signs get vandalized on occasion but that’s city life I suppose. We love the creek and my dog who is no longer with us used to love playing catch in the water. The 2 main trails of of Rhawn Street entrance are great! We alternate walking between the 2. The upper is my favorite, because it’s very shaded so you can walk even in the worst heat and not really be subjected to the sun.",2023-07-18 16:35:28
Pennypack Park,Dr. Joseph Rhyanes,5,Nice trails and family outings,2024-03-17 22:40:08
East Fairmount Park,Joshua Perry,5,"Beautiful park. Great paths for walking, running, or biking as well as plenty of places to explore along the way. There are art installations that change seasonally as well as some permanent statues. The park also has plenty of places for a waterfront picnic. Overall a great place to go alone, with friends, or family.",2023-09-16 02:05:19
East Fairmount Park,Katlyn Kraft,5,"Great to see all the people visiting, taking photos, and making video memories!",2024-01-31 09:05:51
East Fairmount Park,Mark Elmy,5,"Took a walk around the reservoir and discovery center. Really nicely put together, and seeing a juvenile red tailed hawk topped it off. I'd definitely go back for a bit of nature in the city",2023-08-09 16:29:03
East Fairmount Park,Anwar Md Hossain,5,"East Fairmount Park is a beautiful and historic park that covers 650 acres bordering the eastern edge of the Schuylkill River. It is home to many attractions and features, such as the famous Schuylkill River Trail and its Boathouse Row, the Philadelphia Art Museum, Strawberry Mansion Reservoir, Smith Memorial Playground, and several historic houses. The park also offers a range of activities and experiences for families, arts and culture lovers, and outdoor enthusiasts. East Fairmount Park is a great place to explore, enjoy, and learn about the history and culture of Philadelphia.",2024-03-02 19:10:44
East Fairmount Park,Devin Latimore,5,"Butterfly 🦋 and bee 🐝 having lunch on a Milk Thistle flower. Free birdwatching, so many other things. Beautiful park 🏞️",2023-08-23 17:27:01
Tacony Creek Park,Jed Immanuel Lloren,3,"A decent park for a city. Trail isn’t the most well-maintained during this time of year. Lots of garbage. The water isn’t very clean and even has advisories to not go in. Overall, it’s an okay trail. There are cool flowers at least.",2024-03-09 18:42:47
Tacony Creek Park,Michael Diamond,5,"Love it, feels a little sketchy but great length from tip to tip 3 miles ish and almost entirely shaded with lots of cool tunnels and bridges. Warning feels very isolated, and many people ride dirt bikes and quads so it can be dangerous peak season",2020-09-16 18:44:44
Tacony Creek Park,True Review,4,If you like nature and all that it has to offer this might be the place for you. The park has a paved walkway which makes walking and biking easier. There are many places to sit and think or watch animals. I suggest that you stay out of the water though. It’s really not a swimming spot. It’s better maintained and feels safer than before.,2021-09-07 04:19:10
Tacony Creek Park,Wil Spillane,3,"This is an okay park. However, the trails run through busy streets. Considering how dangerous it is to be a pedestrian in America, I’d prefer to not have my hiking or walking interfered with by cars and intersections.",2022-11-18 18:12:05
Tacony Creek Park,Chris costume,5,Great place to go riding just have to be careful with the people walking and riding pedal bikes,2023-06-27 14:11:13
FDR Park,Mircea Ionescu,5,"We been here during the Christmas for the winter lights.
We were so surprised of the light arrangements.
We have seen light shows in different states but this one is beautifully arranged.
Enjoy it with your partner or kids .
It is worth the time.
They have fireplaces to warm up and warm drinks",2024-01-01 07:26:53
FDR Park,Ginny Robison,5,New playground is amazing. Definitely be careful coming down the giant tunnel slides. Lots and lots of swings with plenty of space in the middle of the park. So pleasant.,2023-11-01 18:59:45
FDR Park,Ci is an idiot,5,I enjoyed seeing the Christmas lights. They were so beautiful. They even have ice skating too. And they have good hot cocoa. It was so fun there.,2024-01-04 20:24:10
FDR Park,Joshua G.,5,By far the best park iv personally been to in PA. This park is also featured on tony hawks pro skater 2 and it was awasome to skate in a park as an adult that I skated in a game as a kid😅🤣🤣 will be on my list every time I visit pa,2023-10-29 00:00:09
FDR Park,Olivia Anderson,5,"Visited the Franklin Delano Roosevelt Park yesterday evening. It’s the largest park in South Philadelphia. The large structure in some of the photos was originally built as a boathouse in 1916 and was used as the Russian Pavilion for the Sesquicentennial 1926 Exposition. The gazebo (also pictured) named the Olmsted Overlook sits on the edge of the lake and provides such a serene setting in the park. Like the Boathouse, the gazebo dates back to the 1900s. The park is beautiful, lots of free parking, and so many cute places for kids to play.",2023-09-01 13:34:27
D Finnegan Playground,William Cromwell,3,"Another wide open space neighbourhood facility with two superb basketball courts, a baseball patch and expansive green grassy area where folks can stroll around and pet owners can watch their animals gleefully run free. Also on site is a secure childrens playground with swings, climbing frames, slides and seats for parents and guardians. This is a valued location offering all year round opportunities for local events and general socializing.",2021-10-20 13:33:15
D Finnegan Playground,Monty G Philly Monty G Philly,5,"I just Love the 💯Fast Service that I get everytime I go there or send someone else there, and they Don't try to Charge You Up for Great Services 💯💪Baby Baaby!!",2023-01-17 11:47:04
D Finnegan Playground,madeline lloyd,5,Great time,2023-04-22 17:06:19
D Finnegan Playground,sarah legacki,5,Wonderful clean SAFE SPACE for kids of all ages! Playground is huge & fun basketball courts are awesome!,2021-04-20 13:16:32
D Finnegan Playground,Khyle Williams,5,Beautiful playground and environment to take your children or loved ones to for relaxation and fun.,2021-04-23 02:19:03
Spruce Street Tot Lot,Fred Bangert,5,Love taking my son there.,2021-05-16 01:52:05
Spruce Street Tot Lot,Taroleaf224fsb R,4,Great little park,2019-03-20 23:55:01
Spruce Street Tot Lot,Owen vids now,5,Awesome.,2015-06-26 18:18:34
Spruce Street Tot Lot,Agnes Royster,5,Ok,2019-08-16 17:17:12
Spruce Street Tot Lot,Gerald Duley,1,Do not know,2016-08-05 16:26:36
Sedgley Woods Disc Golf,Daniel Coyne,5,"A place with ambiance like no other. Sometimes you’ll come here and there will be 40-50 people hanging out in the patio area at the start/finish, grilling, playing music, enjoying libations, whatever. Multiple people will ask you if you want a burger or a drink or if you’d like to join them in playing a round. The people are what make this place so special. As far as the many comments saying it’s a “short course”, play from the reds. Blue tees are shortest, yellow medium, red tees are longest.",2022-12-06 16:43:15
Sedgley Woods Disc Golf,Jon jungle rot.,4,Great course. 27 holes with lots of pads for every level of player. If nothing else its just beautiful to look at. Give it a look if you are in town.,2022-03-03 23:36:35
