objectID,type,ParkName,GoogleID,Lat,Long,NumberRatings,inPhilly,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Point,John F Kennedy Plaza (LOVE Park),ChIJkydYBi7GxokRB1nllBaz4zk,39.954132,-75.16564,14634,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Point,Rittenhouse Square,ChIJIQGrHTrGxokRofc6nBBJrRU,39.949462,-75.171892,6465,1,no google ID here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Point,Wissahickon Valley Park,ChIJIcPcqf64xokRSPxypSWNWic,40.056211,-75.217331,6252,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Point,East Fairmount Park,ChIJ9yn9mbzHxokR1TbHNCkX9E4,39.984455,-75.197028,5222,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Point,Franklin Delano Roosevelt Park,ChIJie9v2DbBxokRHylCIW7ceSA,39.90214,-75.18381,4338,1,"should also consider
	
ChIJjQO6UDTFxokRKwipjcz5Q5o	Anna C. Verna Playground
ChIJB37Luk_FxokRSxEC_QgGmAU	Boathouse at FDR Park
ChIJm1IODzjFxokREo4XLuKy_WQ	Children???s Playground at FDR Park
ChIJa8NFISXFxokRyfcKW9fOUTU	FDR Community Clubhouse
ChIJQ0ZFt63FxokRqkfAi0r4wPQ	Gazebo at FDR Park
ChIJYdE2rAjFxokRV2viGHW2ois	Picnic Area #18 at FDR Park
ChIJZTP18zXFxokRZSENwg8ci8o	Picnic Area A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Point,Penn Treaty Park,ChIJRycq6ELIxokRqyoKN58WSZk,39.966274,-75.128479,2733,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Point,Clarence H Clark Park,ChIJbyyRSfLGxokRDJARJE7eV9o,39.948897,-75.210414,2707,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Point,Belmont Plateau,ChIJ9b9I7G3HxokRlP4EMxkOeYE,39.990324,-75.212664,2055,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Point,Logan Square,ChIJayuuCzTGxokRak65s-xv_Oo,39.95803,-75.17096,1898,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Point,Hunting Park,ChIJ3bXlTY23xokRYf865UX0Dpw,40.01667,-75.14382,1782,1,merge with 999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Point,Tacony Creek Park,ChIJ91aSfKq3xokRGK8HYl58E_g,40.0336,-75.112982,1759,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Point,Schuylkill River Park,ChIJ487CtO3HxokRpQTcjx2xLNM,39.948818,-75.181766,1676,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Point,Fish Hatchery at Pleasant Hill Park,ChIJ1wCpc5a0xokRSNN2kgHmBC8,40.042569,-74.992837,1577,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Point,Pleasant Hill Park,ChIJ1wCpc5a0xokRSNN2kgHmBC8,40.04257,-74.99284,1577,1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Point,Malcolm X Memorial Park,ChIJxyUiG8LGxokR-B64pUFtwuE,39.952663,-75.225427,1493,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Point,Schuylkill Banks,ChIJ1QhLoknGxokRY1BxIaMBmEY,39.952195,-75.180653,1420,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Point,Burholme Park,ChIJa8W67cy2xokROgXq8Zpx3cM,40.067148,-75.089962,1001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Point,Marconi Plaza,ChIJx3Iz7uPFxokRZC8frTdovRI,39.915667,-75.171128,931,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Point,Sister Cities Park,ChIJK6SVAzPGxokRaNqldb6kA9I,39.95791,-75.16934,838,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Point,Sister Clara Muhammad Square,ChIJK6SVAzPGxokRaNqldb6kA9I,39.957906,-75.169339,837,1,same as Clarkson Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Point,Cobbs Creek Park,ChIJrUwqs7HGxokRG3GEi-C6Jms,39.940632,-75.239171,819,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Point,Susan Gorgas Park,ChIJyalRj-i4xokR232ASX8TyDs,40.037306,-75.22122,772,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Point,Fernhill Park,ChIJgeJFuRe4xokR4PiPoMBuR0Q,40.01951,-75.1684,583,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Point,Verree and Susquehanna Playground,ChIJfbV91luxxokR251x55kfghc,40.080582,-75.067347,574,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Point,John Dickinson Square,ChIJNx3fKqbIxokRs3IRzO4WjN4,39.92789,-75.15086,571,1,there is also a playground there / ChIJa8Syz6fIxokRzWRaonh7q8k/ - not taking that into account (n=7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Point,Rail Park,ChIJE1_qJdzHxokROefoBvxBYEU,39.96016,-75.15963,533,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Point,I-95 Park,ChIJZ0C1ko_IxokRJtXA991dslk,39.947778,-75.142009,495,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Point,Pretzel Park,ChIJAQ8b55S4xokR3J_nxeHg9fE,40.025584,-75.221105,482,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Point,Manayunk Canal,ChIJ9ySqH8-4xokR8Fzn3yeScyo,40.037381,-75.24189,478,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Point,Campbell Square,ChIJH6So9NPJxokReIgxzWN0z2Y,39.98636,-75.10327,460,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Point,Norris Square,ChIJaYQO-xbIxokRLtTpn5gZPj8,39.98268,-75.13469,434,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Point,McMichael Park,ChIJAf0WTG-4xokR3augPONwaTk,40.018481,-75.187004,420,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Point,Eakins Oval,ChIJrwDdgrXHxokRZ8Q-XV4tloc,39.963627,-75.178359,408,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Point,Mifflin Square,ChIJ-btRQgDGxokRavFwlFZPh4A,39.919477,-75.156519,394,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Point,Lardners Point Park,ChIJDyDcf8W1xokRUyJy2qpDOiA,40.014748,-75.045998,373,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Point,Carroll Park,ChIJ4TC1c0LHxokR4NPknod6Qz4,39.97104,-75.23669,369,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Point,Sedgley Woods Disc Golf Course,ChIJ1bQ796LHxokRDRS-nRclQAU,39.981548,-75.191342,364,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Point,Blue Bell Park,ChIJG9t401u4xokRehGvJXGxHpY,40.031301,-75.194634,347,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Point,Harrowgate Park,ChIJMcEn3iy2xokR3NFfUm_kKus,39.999218,-75.106369,339,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Juniata Park,ChIJcf8po0u2xokRjKskdO6gjg4,40.01488,-75.10418,331,1,merge with Tacony Creek ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Point,Vernon Park,ChIJ8Q4wDDa4xokRUDXjlmumT5s,40.03561,-75.17672,324,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Point,Thomas P Stokley Recreation Center,ChIJq3lfInfGxokR6xTloExtwhs,39.92596,-75.18719,313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Point,Jefferson Square,ChIJk32taqHIxokRPcfpieYftSU,39.93357,-75.15013,301,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Point,29th and Chalmers Playground,ChIJKcxkF4vHxokRj4nO1X3MuKw,40.000265,-75.178342,290,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Point,Stephen Girard Park,ChIJV-otSN_FxokRwh89UCkQ48s,39.920322,-75.183447,289,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Point,Russell DeRitis Playground,ChIJEwQxPQ7GxokRm8LBicqCFE0,39.929141,-75.170042,272,1,no google ID here (it is in Fairmount Park),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Point,General Casimir Pulaski Park,ChIJkbjKmM_JxokRexQUX0bybbo,39.97857,-75.09752,254,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Point,Grays Ferry Crescent,ChIJeS9q1GHGxokR9TzxYDFxWzA,39.942573,-75.203235,253,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Point,Pennypack on the Delaware,ChIJGdGpnFC0xokRXjNzygI9O2s,40.027687,-75.019521,247,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Point,Korean War Veterans Memorial,ChIJfSYCnZrIxokRyvvUVyTC4KQ,39.94499,-75.14344,215,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Point,Delancey Park,ChIJ-5kFm5vIxokR8VHXewCN8eY,39.94408,-75.1479,214,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Point,Paines Park,ChIJr5KSHrXHxokR5PpF0k6SfFI,39.962874,-75.180621,203,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Point,Matthias Baldwin Park,ChIJbYrHHc3HxokR1Iw0demCXNQ,39.961667,-75.168948,199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Point,Palmer Park,ChIJ0cFmtmrIxokRPX_t7cF9wWM,39.97489,-75.13254,195,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Point,Overington Park,ChIJR9xQpkO2xokRiROV3yO2Vro,40.016999,-75.08828,189,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Point,Cliveden Park,ChIJC0gI_re5xokR8fAPdCoKEGI,40.051182,-75.177939,187,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,Point,Hunting Park Recreation Center,ChIJr9-gOe23xokRbPM2mBanERo,40.01744,-75.14382,185,1,merge with 175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Point,Fanny Kemble Abolitionist Memorial Park,ChIJMQXpJn-3xokRS76DEQdgcs8,40.03998,-75.1498,185,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Point,Glendinning Rock Garden,ChIJgeby66THxokRPBoXqjkafUM,39.97645,-75.1912,184,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Point,Frankford and Solly Playground,ChIJfxdMR2G2xokR_QGL8n8p9wU,40.024715,-75.079913,164,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Point,Gold Star Park,ChIJ_bcj_R3GxokRsALBnpQ1a4k,39.93294,-75.15518,161,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Point,Cret Park,ChIJm41VCTLGxokRVhr84onHXyA,39.955543,-75.166561,158,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Point,Sherwood Park,ChIJ2wNhhbfGxokR5W_6G4jGZEI,39.94671,-75.23751,145,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Point,Konrad Square,ChIJa16mhj7IxokRdmZom7ZFDdM,39.979319,-75.127995,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Point,William Lanier Park,ChIJ05Xl3cHHxokR2mS1XFivxWU,39.93362,-75.19388,144,1,dog park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Point,Fitler Square,ChIJMd0WFkfGxokRCUOh17k4YVo,39.9476,-75.17976,142,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Point,Ben Barkan Park,ChIJtyawBunGxokRobOljf-1qGg,39.953829,-75.221561,134,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Point,Marian Winfield Hissey Recreation Center,ChIJ0bDrndi3xokRr3a0KmyzM4M,39.99433,-75.12334,134,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Point,Colonel Thomas J Powers Park,ChIJwyezXi3IxokRGF4WpwWVGNw,39.982504,-75.108931,132,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Point,Frankford and Pennypack Park,ChIJzeuMQQK1xokRL4mQfZxyBY8,40.049551,-75.035803,128,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Point,Pennypack Park,ChIJzeuMQQK1xokRL4mQfZxyBY8,40.049551,-75.035803,128,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Point,Hope Park,ChIJ6TFIKYC3xokRmfC2e01b-Ik,39.99549,-75.12761,122,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Point,Pastorius Park,ChIJQxf7F6K5xokRdOcuY4_fkbs,40.070752,-75.205123,118,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
