0,1,William H (Billy) Markward Memorial Playground,Schuylkill River Park,Y,William H. (Billy) Markward Memorial Playground,Markward,Joseph O'Connor Memorial Pool,1903,400 S TANEY ST,19146,400-16 S TANEY ST;338-46 S 26TH ST;300 S 26TH ST;2601-13 SOUTH ST,"400-16 S TANEY ST;577 S TANEY ST;Pine & Taney;338-46 S 26TH ST;300 S 26TH ST;2620 Pine St;350 S 26th St;2601-13 SOUTH ST, 26th & South",3.752791,RECREATION_CENTER,RECREATION_SITE,14,5;7,2,9;17,Y,Y,Y,Markward site includes the O'Connor Pool,2.587144e+04,1094.402639,"MULTIPOLYGON (((-75.18307 39.94826, -75.18314 39.94821, -75.18310 39.94818, -75.18284 39.94815, -75.18258 39.94812, -75.18255 39.94811, -75.18261 39.94781, -75.18262 39.94780, -75.18262 39.94779, -75.18263 39.94779, -75.18302 39.94783, -75.18321 39.94786, -75.18323 39.94786, -75.18324 39.94786, -75.18326 39.94785, -75.18327 39.94785, -75.18329 39.94784, -75.18330 39.94782, -75.18332 39.94776, -75.18343 39.94726, -75.18347 39.94726, -75.18361 39.94728, -75.18365 39.94728, -75.18369 39.94729, -75.18369 39.94729, -75.18369 39.94729, -75.18377 39.94730, -75.18398 39.94733, -75.18417 39.94735, -75.18418 39.94735, -75.18434 39.94737, -75.18454 39.94740, -75.18468 39.94742, -75.18473 39.94742, -75.18476 39.94743, -75.18459 39.94756, -75.18454 39.94760, -75.18453 39.94761, -75.18447 39.94765, -75.18419 39.94787, -75.18383 39.94816, -75.18370 39.94826, -75.18365 39.94825, -75.18363 39.94825, -75.18363 39.94825, -75.18358 39.94830, -75.18276 39.94894, -75.18275 39.94894, -75.18275 39.94894, -75.18273 39.94893, -75.18272 39.94892, -75.18248 39.94873, -75.18277 39.94851, -75.18300 39.94832, -75.18307 39.94826)), ((-75.18313 39.94589, -75.18314 39.94588, -75.18315 39.94589, -75.18316 39.94589, -75.18318 39.94589, -75.18353 39.94593, -75.18354 39.94594, -75.18356 39.94594, -75.18357 39.94594, -75.18357 39.94594, -75.18358 39.94594, -75.18359 39.94594, -75.18359 39.94594, -75.18360 39.94595, -75.18361 39.94595, -75.18361 39.94596, -75.18361 39.94597, -75.18361 39.94598, -75.18356 39.94623, -75.18355 39.94625, -75.18350 39.94624, -75.18309 39.94619, -75.18304 39.94619, -75.18305 39.94614, -75.18310 39.94593, -75.18311 39.94590, -75.18311 39.94590, -75.18311 39.94589, -75.18313 39.94589)))"
1,2,Schuylkill Banks,Schuylkill Banks,N,None,Schuylkill Banks,None,2794,2425 CHESTNUT ST,19103,2500 SPRING GARDEN ST;2451 MARKET ST;2369-71 JFK BLVD; 2448-52 CHERRY ST;2331 CHERRY ST;2345-49 RACE ST;2427A-31 WALNUT ST;2433-41 WALNUT ST;2518-26 L,2500 SPRING GARDEN ST;2451 MARKET ST;2369-71 JFK BLVD; 2448-52 CHERRY ST;2331 CHERRY ST;2345-49 RACE ST;2427A-31 WALNUT ST;2433-41 WALNUT ST;2518-26 LOCUST ST;,14.717255,BREEZEWAY_GREENWAY,GREENWAY_PARKWAY,10;14,5;7,2;5,9;17,Y,Y,N,Bill 160113 (4/14/16) -South of South St Bridge,1.014772e+05,9300.670275,"POLYGON ((-75.18103 39.96361, -75.18075 39.96352, -75.18075 39.96352, -75.18072 39.96351, -75.18067 39.96350, -75.18067 39.96350, -75.18051 39.96344, -75.18051 39.96344, -75.18006 39.96329, -75.18001 39.96327, -75.17986 39.96323, -75.17984 39.96322, -75.17969 39.96317, -75.17968 39.96316, -75.17969 39.96316, -75.17970 39.96314, -75.17970 39.96315, -75.17973 39.96315, -75.17982 39.96318, -75.17992 39.96322, -75.18050 39.96341, -75.18053 39.96342, -75.18057 39.96342, -75.18061 39.96342, -75.18069 39.96344, -75.18091 39.96351, -75.18101 39.96355, -75.18147 39.96362, -75.18152 39.96346, -75.18144 39.96338, -75.18122 39.96319, -75.18105 39.96301, -75.18085 39.96281, -75.18067 39.96262, -75.18057 39.96250, -75.18042 39.96232, -75.18029 39.96214, -75.18021 39.96202, -75.18017 39.96203, -75.18008 39.96222, -75.18007 39.96216, -75.18006 39.96205, -75.18005 39.96202, -75.18004 39.96199, -75.18001 39.96190, -75.17994 39.96175, -75.17991 39.96168, -75.17989 39.96165, -75.17985 39.96160, -75.17982 39.96158, -75.17980 39.96158, -75.17978 39.96153, -75.17973 39.96154, -75.17964 39.96129, -75.17957 39.96109, -75.17954 39.96099, -75.17948 39.96083, -75.17941 39.96062, -75.17933 39.96042, -75.17921 39.96017, -75.17910 39.95985, -75.17902 39.95961, -75.17901 39.95950, -75.17898 39.95940, -75.17876 39.95878, -75.17868 39.95855, -75.17861 39.95835, -75.17854 39.95809, -75.17852 39.95799, -75.17850 39.95777, -75.17849 39.95755, -75.17850 39.95737, -75.17853 39.95719, -75.17854 39.95711, -75.17855 39.95709, -75.17859 39.95696, -75.17863 39.95682, -75.17869 39.95666, -75.17873 39.95652, -75.17888 39.95613, -75.17901 39.95583, -75.17913 39.95553, -75.17924 39.95527, -75.17942 39.95481, -75.17948 39.95465, -75.17952 39.95456, -75.17951 39.95454, -75.17963 39.95425, -75.17966 39.95424, -75.17966 39.95423, -75.17973 39.95406, -75.17983 39.95380, -75.17990 39.95363, -75.17998 39.95343, -75.18016 39.95301, -75.18024 39.95283, -75.18033 39.95261, -75.18036 39.95259, -75.18036 39.95259, -75.18051 39.95220, -75.18053 39.95215, -75.18070 39.95178, -75.18073 39.95170, -75.18087 39.95134, -75.18095 39.95118, -75.18095 39.95114, -75.18097 39.95110, -75.18099 39.95107, -75.18101 39.95103, -75.18101 39.95102, -75.18103 39.95102, -75.18107 39.95096, -75.18111 39.95087, -75.18117 39.95078, -75.18127 39.95065, -75.18131 39.95059, -75.18138 39.95050, -75.18148 39.95039, -75.18160 39.95027, -75.18160 39.95027, -75.18176 39.95011, -75.18177 39.95009, -75.18196 39.94993, -75.18209 39.94983, -75.18217 39.94977, -75.18248 39.94951, -75.18268 39.94929, -75.18284 39.94917, -75.18345 39.94868, -75.18392 39.94832, -75.18442 39.94795, -75.18477 39.94768, -75.18475 39.94767, -75.18484 39.94759, -75.18547 39.94711, -75.18555 39.94704, -75.18556 39.94703, -75.18557 39.94703, -75.18568 39.94695, -75.18616 39.94656, -75.18619 39.94658, -75.18624 39.94662, -75.18624 39.94662, -75.18625 39.94662, -75.18625 39.94662, -75.18626 39.94663, -75.18627 39.94663, -75.18628 39.94664, -75.18632 39.94667, -75.18630 39.94669, -75.18587 39.94699, -75.18586 39.94700, -75.18584 39.94701, -75.18568 39.94712, -75.18566 39.94713, -75.18566 39.94714, -75.18547 39.94727, -75.18523 39.94743, -75.18500 39.94760, -75.18501 39.94762, -75.18510 39.94770, -75.18511 39.94770, -75.18517 39.94768, -75.18542 39.94751, -75.18573 39.94734, -75.18573 39.94734, -75.18587 39.94725, -75.18600 39.94715, -75.18614 39.94703, -75.18645 39.94675, -75.18662 39.94660, -75.18666 39.94656, -75.18668 39.94653, -75.18671 39.94647, -75.18674 39.94642, -75.18674 39.94639, -75.18674 39.94637, -75.18664 39.94644, -75.18664 39.94644, -75.18653 39.94652, -75.18637 39.94640, -75.18663 39.94621, -75.18669 39.94616, -75.18670 39.94615, -75.18722 39.94573, -75.18742 39.94558, -75.18767 39.94538, -75.18772 39.94535, -75.18794 39.94517, -75.18850 39.94473, -75.18878 39.94451, -75.18950 39.94395, -75.19000 39.94356, -75.19025 39.94336, -75.19040 39.94343, -75.19041 39.94343, -75.19029 39.94356, -75.18988 39.94394, -75.18980 39.94401, -75.18930 39.94450, -75.18919 39.94459, -75.18913 39.94464, -75.18912 39.94464, -75.18907 39.94468, -75.18889 39.94481, -75.18884 39.94486, -75.18878 39.94490, -75.18876 39.94492, -75.18870 39.94497, -75.18868 39.94499, -75.18846 39.94516, -75.18845 39.94516, -75.18840 39.94519, -75.18831 39.94527, -75.18808 39.94545, -75.18801 39.94550, -75.18799 39.94551, -75.18791 39.94557, -75.18789 39.94558, -75.18787 39.94559, -75.18779 39.94565, -75.18764 39.94575, -75.18764 39.94576, -75.18755 39.94582, -75.18756 39.94584, -75.18736 39.94599, -75.18734 39.94598, -75.18731 39.94598, -75.18730 39.94599, -75.18700 39.94620, -75.18697 39.94621, -75.18693 39.94624, -75.18687 39.94629, -75.18686 39.94629, -75.18686 39.94629, -75.18682 39.94632, -75.18680 39.94633, -75.18680 39.94640, -75.18679 39.94642, -75.18672 39.94657, -75.18671 39.94659, -75.18667 39.94662, -75.18650 39.94679, -75.18649 39.94682, -75.18634 39.94696, -75.18628 39.94697, -75.18611 39.94712, -75.18590 39.94729, -75.18582 39.94734, -75.18577 39.94737, -75.18549 39.94752, -75.18543 39.94756, -75.18521 39.94771, -75.18519 39.94776, -75.18512 39.94782, -75.18505 39.94783, -75.18493 39.94793, -75.18475 39.94805, -75.18455 39.94817, -75.18449 39.94822, -75.18430 39.94839, -75.18422 39.94845, -75.18402 39.94860, -75.18399 39.94864, -75.18383 39.94876, -75.18377 39.94878, -75.18356 39.94893, -75.18353 39.94896, -75.18335 39.94914, -75.18323 39.94926, -75.18309 39.94939, -75.18307 39.94944, -75.18292 39.94957, -75.18286 39.94959, -75.18265 39.94977, -75.18259 39.94981, -75.18241 39.94990, -75.18232 39.94995, -75.18222 39.94998, -75.18199 39.95023, -75.18191 39.95032, -75.18181 39.95049, -75.18182 39.95049, -75.18162 39.95080, -75.18150 39.95099, -75.18141 39.95114, -75.18126 39.95138, -75.18126 39.95139, -75.18125 39.95141, -75.18118 39.95154, -75.18093 39.95203, -75.18065 39.95259, -75.18043 39.95302, -75.18011 39.95366, -75.17982 39.95423, -75.17982 39.95424, -75.17960 39.95479, -75.17939 39.95528, -75.17936 39.95534, -75.17917 39.95587, -75.17907 39.95613, -75.17907 39.95614, -75.17907 39.95615, -75.17907 39.95615, -75.17906 39.95616, -75.17906 39.95617, -75.17906 39.95617, -75.17906 39.95618, -75.17905 39.95619, -75.17905 39.95619, -75.17905 39.95620, -75.17904 39.95621, -75.17904 39.95621, -75.17904 39.95622, -75.17904 39.95623, -75.17903 39.95623, -75.17903 39.95624, -75.17903 39.95625, -75.17903 39.95626, -75.17902 39.95626, -75.17902 39.95627, -75.17902 39.95628, -75.17902 39.95628, -75.17901 39.95629, -75.17901 39.95630, -75.17901 39.95630, -75.17900 39.95631, -75.17900 39.95632, -75.17900 39.95632, -75.17900 39.95633, -75.17899 39.95634, -75.17899 39.95634, -75.17899 39.95635, -75.17899 39.95636, -75.17898 39.95636, -75.17898 39.95637, -75.17898 39.95638, -75.17898 39.95638, -75.17897 39.95639, -75.17897 39.95640, -75.17897 39.95640, -75.17897 39.95641, -75.17896 39.95642, -75.17896 39.95642, -75.17896 39.95643, -75.17896 39.95644, -75.17895 39.95644, -75.17895 39.95645, -75.17895 39.95646, -75.17895 39.95646, -75.17895 39.95647, -75.17894 39.95648, -75.17894 39.95649, -75.17894 39.95649, -75.17894 39.95650, -75.17893 39.95651, -75.17893 39.95651, -75.17893 39.95652, -75.17893 39.95653, -75.17892 39.95653, -75.17892 39.95654, -75.17892 39.95655, -75.17892 39.95655, -75.17892 39.95656, -75.17891 39.95657, -75.17891 39.95657, -75.17891 39.95658, -75.17891 39.95659, -75.17890 39.95659, -75.17890 39.95660, -75.17890 39.95661, -75.17890 39.95662, -75.17890 39.95662, -75.17889 39.95663, -75.17889 39.95664, -75.17889 39.95664, -75.17889 39.95665, -75.17889 39.95666, -75.17888 39.95666, -75.17888 39.95667, -75.17888 39.95668, -75.17888 39.95668, -75.17888 39.95669, -75.17887 39.95670, -75.17887 39.95670, -75.17887 39.95671, -75.17887 39.95672, -75.17887 39.95672, -75.17886 39.95673, -75.17886 39.95674, -75.17886 39.95675, -75.17886 39.95675, -75.17886 39.95676, -75.17885 39.95677, -75.17885 39.95677, -75.17885 39.95678, -75.17885 39.95679, -75.17885 39.95679, -75.17884 39.95680, -75.17884 39.95681, -75.17884 39.95681, -75.17884 39.95682, -75.17884 39.95683, -75.17884 39.95684, -75.17883 39.95684, -75.17883 39.95685, -75.17883 39.95686, -75.17883 39.95686, -75.17883 39.95687, -75.17883 39.95688, -75.17882 39.95688, -75.17882 39.95689, -75.17882 39.95690, -75.17882 39.95690, -75.17882 39.95691, -75.17881 39.95692, -75.17881 39.95692, -75.17881 39.95693, -75.17881 39.95694, -75.17881 39.95695, -75.17881 39.95695, -75.17881 39.95696, -75.17880 39.95697, -75.17880 39.95697, -75.17880 39.95698, -75.17880 39.95699, -75.17880 39.95699, -75.17880 39.95700, -75.17879 39.95701, -75.17879 39.95702, -75.17879 39.95702, -75.17879 39.95703, -75.17879 39.95704, -75.17879 39.95704, -75.17879 39.95705, -75.17878 39.95706, -75.17878 39.95706, -75.17878 39.95707, -75.17878 39.95708, -75.17878 39.95708, -75.17878 39.95709, -75.17878 39.95710, -75.17877 39.95711, -75.17877 39.95711, -75.17877 39.95712, -75.17877 39.95716, -75.17875 39.95732, -75.17873 39.95752, -75.17872 39.95778, -75.17872 39.95779, -75.17872 39.95792, -75.17874 39.95812, -75.17875 39.95821, -75.17876 39.95832, -75.17878 39.95841, -75.17881 39.95859, -75.17885 39.95875, -75.17888 39.95887, -75.17895 39.95909, -75.17898 39.95920, -75.17903 39.95934, -75.17906 39.95944, -75.17907 39.95949, -75.17923 39.95986, -75.17924 39.95987, -75.17924 39.95988, -75.17924 39.95988, -75.17925 39.95989, -75.17925 39.95990, -75.17925 39.95991, -75.17925 39.95991, -75.17926 39.95992, -75.17926 39.95993, -75.17926 39.95993, -75.17927 39.95994, -75.17927 39.95995, -75.17927 39.95995, -75.17927 39.95996, -75.17928 39.95997, -75.17928 39.95997, -75.17928 39.95998, -75.17928 39.95999, -75.17929 39.95999, -75.17929 39.96000, -75.17929 39.96001, -75.17929 39.96001, -75.17930 39.96002, -75.17930 39.96003, -75.17930 39.96003, -75.17931 39.96004, -75.17931 39.96005, -75.17931 39.96005, -75.17931 39.96006, -75.17932 39.96007, -75.17932 39.96007, -75.17932 39.96008, -75.17933 39.96009, -75.17933 39.96009, -75.17933 39.96010, -75.17933 39.96011, -75.17934 39.96011, -75.17934 39.96012, -75.17934 39.96013, -75.17935 39.96013, -75.17935 39.96014, -75.17935 39.96015, -75.17935 39.96015, -75.17936 39.96016, -75.17936 39.96017, -75.17936 39.96017, -75.17937 39.96018, -75.17937 39.96019, -75.17937 39.96019, -75.17937 39.96020, -75.17938 39.96021, -75.17938 39.96021, -75.17938 39.96022, -75.17939 39.96023, -75.17939 39.96023, -75.17939 39.96024, -75.17940 39.96025, -75.17940 39.96025, -75.17940 39.96026, -75.17940 39.96027, -75.17941 39.96027, -75.17941 39.96028, -75.17941 39.96029, -75.17942 39.96029, -75.17942 39.96030, -75.17942 39.96031, -75.17943 39.96031, -75.17943 39.96032, -75.17943 39.96033, -75.17944 39.96033, -75.17944 39.96034, -75.17944 39.96035, -75.17945 39.96035, -75.17945 39.96036, -75.17945 39.96037, -75.17946 39.96037, -75.17946 39.96038, -75.17946 39.96039, -75.17947 39.96039, -75.17947 39.96040, -75.17947 39.96041, -75.17947 39.96041, -75.17948 39.96042, -75.17948 39.96043, -75.17948 39.96043, -75.17949 39.96044, -75.17949 39.96044, -75.17949 39.96045, -75.17950 39.96046, -75.17950 39.96046, -75.17950 39.96047, -75.17951 39.96048, -75.17951 39.96048, -75.17951 39.96049, -75.17952 39.96050, -75.17952 39.96050, -75.17953 39.96051, -75.17953 39.96052, -75.17953 39.96052, -75.17954 39.96053, -75.17954 39.96054, -75.17954 39.96054, -75.17955 39.96055, -75.17955 39.96056, -75.17955 39.96056, -75.17956 39.96057, -75.17956 39.96058, -75.17956 39.96058, -75.17957 39.96059, -75.17957 39.96059, -75.17957 39.96060, -75.17958 39.96061, -75.17958 39.96061, -75.17958 39.96062, -75.17959 39.96063, -75.17959 39.96063, -75.17960 39.96064, -75.17960 39.96065, -75.17960 39.96065, -75.17961 39.96066, -75.17961 39.96067, -75.17961 39.96067, -75.17962 39.96068, -75.17962 39.96069, -75.17962 39.96069, -75.17963 39.96070, -75.17963 39.96070, -75.17964 39.96071, -75.17964 39.96071, -75.17963 39.96071, -75.17965 39.96073, -75.17965 39.96073, -75.17971 39.96082, -75.17978 39.96092, -75.17980 39.96095, -75.17980 39.96096, -75.18005 39.96135, -75.18006 39.96135, -75.18006 39.96136, -75.18007 39.96136, -75.18007 39.96137, -75.18008 39.96138, -75.18008 39.96138, -75.18009 39.96139, -75.18009 39.96139, -75.18009 39.96140, -75.18010 39.96141, -75.18010 39.96141, -75.18011 39.96142, -75.18011 39.96142, -75.18012 39.96143, -75.18012 39.96144, -75.18013 39.96144, -75.18013 39.96145, -75.18014 39.96145, -75.18014 39.96146, -75.18015 39.96147, -75.18015 39.96147, -75.18016 39.96148, -75.18016 39.96148, -75.18017 39.96149, -75.18017 39.96150, -75.18017 39.96150, -75.18018 39.96151, -75.18018 39.96151, -75.18019 39.96152, -75.18019 39.96153, -75.18020 39.96153, -75.18020 39.96154, -75.18021 39.96154, -75.18021 39.96155, -75.18022 39.96156, -75.18022 39.96156, -75.18023 39.96157, -75.18023 39.96157, -75.18024 39.96158, -75.18024 39.96159, -75.18025 39.96159, -75.18025 39.96160, -75.18026 39.96160, -75.18026 39.96161, -75.18027 39.96162, -75.18027 39.96162, -75.18028 39.96163, -75.18028 39.96163, -75.18029 39.96164, -75.18029 39.96165, -75.18030 39.96165, -75.18030 39.96166, -75.18031 39.96166, -75.18031 39.96167, -75.18032 39.96167, -75.18032 39.96168, -75.18033 39.96169, -75.18033 39.96169, -75.18034 39.96170, -75.18034 39.96170, -75.18035 39.96171, -75.18035 39.96172, -75.18036 39.96172, -75.18036 39.96173, -75.18037 39.96173, -75.18056 39.96195, -75.18112 39.96257, -75.18179 39.96332, -75.18238 39.96398, -75.18244 39.96405, -75.18252 39.96409, -75.18275 39.96430, -75.18291 39.96452, -75.18271 39.96455, -75.18265 39.96440, -75.18255 39.96424, -75.18235 39.96406, -75.18230 39.96405, -75.18228 39.96404, -75.18210 39.96399, -75.18196 39.96395, -75.18191 39.96393, -75.18179 39.96389, -75.18174 39.96387, -75.18169 39.96386, -75.18166 39.96384, -75.18163 39.96383, -75.18157 39.96381, -75.18155 39.96380, -75.18153 39.96379, -75.18153 39.96379, -75.18151 39.96378, -75.18144 39.96375, -75.18140 39.96373, -75.18138 39.96373, -75.18131 39.96371, -75.18127 39.96369, -75.18117 39.96366, -75.18111 39.96364, -75.18104 39.96362, -75.18103 39.96361), (-75.18504 39.94775, -75.18492 39.94765, -75.18484 39.94771, -75.18454 39.94792, -75.18453 39.94793, -75.18445 39.94798, -75.18436 39.94804, -75.18436 39.94804, -75.18423 39.94814, -75.18414 39.94820, -75.18413 39.94820, -75.18397 39.94832, -75.18373 39.94852, -75.18373 39.94852, -75.18302 39.94914, -75.18295 39.94919, -75.18251 39.94967, -75.18249 39.94969, -75.18229 39.94991, -75.18232 39.94990, -75.18253 39.94979, -75.18259 39.94976, -75.18268 39.94968, -75.18281 39.94956, -75.18300 39.94939, -75.18321 39.94921, -75.18328 39.94915, -75.18348 39.94894, -75.18352 39.94891, -75.18359 39.94885, -75.18375 39.94873, -75.18393 39.94860, -75.18401 39.94854, -75.18419 39.94841, -75.18423 39.94838, -75.18443 39.94820, -75.18448 39.94816, -75.18468 39.94804, -75.18485 39.94793, -75.18502 39.94780, -75.18504 39.94775, -75.18504 39.94775))"
2,3,Schuylkill River Park,Schuylkill River Park,N,None,Schuylkill River Park,None,2992,400 S TANEY ST,19146,"400-16 S TANEY ST, 338-46 S 26TH ST, 300 S 26TH ST, 302-22 S 25TH ST, 2500R-06 LOCUST ST","Pine & Taney;400-16 S TANEY ST, 338-46 S 26TH ST, 300 S 26TH ST, 302-22 S 25TH ST, 2500R-06 LOCUST ST",3.947826,NEIGHBORHOOD_PARK,RECREATION_SITE,14,"5, 7",2,9,Y,Y,N,None,2.721693e+04,799.048584,"POLYGON ((-75.18314 39.94821, -75.18307 39.94826, -75.18300 39.94832, -75.18277 39.94851, -75.18248 39.94873, -75.18272 39.94892, -75.18273 39.94893, -75.18275 39.94894, -75.18275 39.94894, -75.18270 39.94898, -75.18252 39.94912, -75.18252 39.94912, -75.18238 39.94925, -75.18238 39.94925, -75.18238 39.94925, -75.18230 39.94932, -75.18206 39.94950, -75.18190 39.94963, -75.18190 39.94963, -75.18190 39.94963, -75.18182 39.94962, -75.18181 39.94962, -75.18135 39.94956, -75.18135 39.94956, -75.18115 39.94954, -75.18113 39.94954, -75.18108 39.94953, -75.18112 39.94937, -75.18117 39.94912, -75.18123 39.94882, -75.18129 39.94857, -75.18134 39.94834, -75.18134 39.94834, -75.18134 39.94833, -75.18135 39.94833, -75.18135 39.94833, -75.18136 39.94832, -75.18137 39.94832, -75.18137 39.94832, -75.18138 39.94832, -75.18243 39.94845, -75.18244 39.94845, -75.18245 39.94845, -75.18245 39.94845, -75.18246 39.94845, -75.18246 39.94845, -75.18247 39.94844, -75.18247 39.94844, -75.18248 39.94843, -75.18248 39.94843, -75.18254 39.94813, -75.18255 39.94811, -75.18258 39.94812, -75.18284 39.94815, -75.18310 39.94818, -75.18314 39.94821))"
3,4,Frankford Boat Launch,Frankford Boat Launch,N,Frankford Boat Launch,Frankford Launch,PA Fish & Boat;Frankford Arsenal Boat Launch,3090,5625 TACONY ST,19137,5625 TACONY ST,5650 Tacony St,11.369730,BOAT_SITE,BOATHOUSE_LAUNCH,6,2,6,15,Y,Y,N,None,7.851534e+04,1585.376114,"POLYGON ((-75.05596 40.00750, -75.05601 40.00743, -75.05587 40.00737, -75.05589 40.00734, -75.05604 40.00741, -75.05610 40.00734, -75.05595 40.00727, -75.05597 40.00725, -75.05612 40.00732, -75.05618 40.00725, -75.05621 40.00727, -75.05671 40.00666, -75.05676 40.00660, -75.05685 40.00649, -75.05688 40.00645, -75.05695 40.00637, -75.05703 40.00627, -75.05703 40.00627, -75.05727 40.00597, -75.05739 40.00583, -75.05746 40.00574, -75.05760 40.00557, -75.05768 40.00548, -75.05770 40.00549, -75.05790 40.00549, -75.05828 40.00546, -75.05821 40.00556, -75.05842 40.00592, -75.05819 40.00627, -75.05858 40.00671, -75.05908 40.00726, -75.05898 40.00732, -75.05888 40.00737, -75.05877 40.00727, -75.05864 40.00726, -75.05851 40.00725, -75.05827 40.00738, -75.05826 40.00738, -75.05796 40.00754, -75.05737 40.00786, -75.05705 40.00803, -75.05699 40.00805, -75.05695 40.00805, -75.05689 40.00805, -75.05671 40.00802, -75.05668 40.00802, -75.05659 40.00806, -75.05645 40.00813, -75.05618 40.00827, -75.05617 40.00826, -75.05614 40.00826, -75.05541 40.00896, -75.05507 40.00864, -75.05508 40.00864, -75.05515 40.00856, -75.05520 40.00849, -75.05542 40.00823, -75.05574 40.00784, -75.05572 40.00782, -75.05571 40.00780, -75.05569 40.00777, -75.05570 40.00773, -75.05571 40.00770, -75.05572 40.00767, -75.05574 40.00763, -75.05577 40.00760, -75.05580 40.00758, -75.05583 40.00755, -75.05587 40.00753, -75.05591 40.00752, -75.05596 40.00750))"
4,5,Robert A Borski Park,Robert A Borski Park,N,Robert A. Borski Park,Borski,Orthodox Street Parcel; Bridesburg Riverfront Park; Congressman Robert A Borski Jr Park,3091,3101 ORTHODOX ST,19137,3101 ORTHODOX ST,3101 ORTHODOX ST,10.567337,NEIGHBORHOOD_PARK,MISC_PARK,7,2,6,15,Y,Y,N,Officially acquired from PAID in 10/2019. Doc 53586794; LWCF Restrictions; In Construction,7.292619e+04,1304.901416,"POLYGON ((-75.06707 39.99007, -75.06713 39.99013, -75.06730 39.99033, -75.06734 39.99032, -75.06750 39.99050, -75.06808 39.99116, -75.06836 39.99148, -75.06839 39.99151, -75.06830 39.99158, -75.06826 39.99153, -75.06805 39.99129, -75.06750 39.99158, -75.06738 39.99181, -75.06720 39.99217, -75.06731 39.99269, -75.06731 39.99269, -75.06731 39.99271, -75.06731 39.99272, -75.06740 39.99267, -75.06703 39.99322, -75.06701 39.99325, -75.06701 39.99326, -75.06685 39.99305, -75.06611 39.99206, -75.06611 39.99206, -75.06611 39.99206, -75.06582 39.99167, -75.06567 39.99146, -75.06560 39.99137, -75.06557 39.99133, -75.06544 39.99115, -75.06544 39.99107, -75.06546 39.99100, -75.06548 39.99092, -75.06551 39.99085, -75.06555 39.99078, -75.06559 39.99071, -75.06564 39.99064, -75.06569 39.99058, -75.06575 39.99052, -75.06581 39.99046, -75.06588 39.99041, -75.06593 39.99036, -75.06598 39.99030, -75.06604 39.99026, -75.06611 39.99021, -75.06618 39.99017, -75.06625 39.99014, -75.06632 39.99011, -75.06640 39.99008, -75.06648 39.99006, -75.06657 39.99005, -75.06665 39.99004, -75.06673 39.99004, -75.06682 39.99004, -75.06690 39.99004, -75.06699 39.99006, -75.06707 39.99007))"
