ParkName,Long,Lat,review_count_by_park,geometry,size_category,sentiment_x,weighted_average_sentiment,Discovery_percentage,Engagement_percentage,Frustration & Annoyance_percentage,Inspiration_percentage,Relaxation_percentage,Sorrow_percentage,Discovery_percentage_weighted,Engagement_percentage_weighted,Frustration & Annoyance_percentage_weighted,Inspiration_percentage_weighted,Relaxation_percentage_weighted,Sorrow_percentage_weighted,Dominant_Emotion_weighted,sentiment_y
Delancey Park,-75.1479,39.94408,102,POINT (-75.1479 39.94408),100,0.819292838082594,0.8245340645052543,8.82,0.98,0.0,17.65,72.55,0.0,7.98,0.4,0.0,17.45,74.17,0.0,Relaxation,0.819292838082594
Mifflin Square,-75.156519,39.919477,165,POINT (-75.156519 39.919477),100,0.2645194324580106,0.37671328795093334,5.45,1.21,1.21,44.85,46.67,0.61,4.4,0.69,0.96,45.09,48.77,0.08,Relaxation,0.2645194324580106
William Lanier Park,-75.19388,39.93362,80,POINT (-75.19388 39.93362),50,0.6069035612046718,0.5720728098773648,8.75,0.0,0.0,26.25,65.0,0.0,9.31,0.0,0.0,24.54,66.15,0.0,Relaxation,0.6069035612046718
Marian Winfield Hissey Recreation Center,-75.12334,39.99433,50,POINT (-75.12334 39.99433),50,0.29416425585746764,0.1326451061623833,6.0,2.0,0.0,36.0,56.0,0.0,6.07,0.29,0.0,32.59,61.05,0.0,Relaxation,0.29416425585746764
Palmer Park,-75.13254,39.97489,86,POINT (-75.13254 39.97489),50,0.7761127810145534,0.8208674597235885,13.95,0.0,2.33,23.26,60.47,0.0,12.29,0.0,7.12,14.88,65.71,0.0,Relaxation,0.7761127810145534
Disston Park,-75.04233,40.022058,37,POINT (-75.04233 40.022058),50,0.2121465947176959,0.3480363667217763,16.22,2.7,2.7,29.73,48.65,0.0,12.92,0.61,0.61,28.79,57.07,0.0,Relaxation,0.2121465947176959
Sedgley Woods Disc Golf Course,-75.191342,39.981548,522,POINT (-75.191342 39.981548),200,0.7322466483061341,0.6259679011721466,8.05,2.3,3.45,17.24,68.97,0.0,11.03,1.33,0.75,20.34,66.54,0.0,Relaxation,0.7322466483061341
Schuylkill Banks,-75.180653,39.952195,597,POINT (-75.180653 39.952195),200,0.846464715211635,0.8740033110568128,13.74,0.67,0.84,13.23,71.52,0.0,12.84,0.32,1.44,9.76,75.62,0.0,Relaxation,0.846464715211635
Fish Hatchery at Pleasant Hill Park,-74.992837,40.042569,1479,POINT (-74.992837 40.042569),250,0.6633873372725976,0.6173958477241827,12.04,0.81,0.68,21.91,64.57,0.0,14.05,0.65,1.17,25.16,58.97,0.0,Relaxation,0.6633873372725976
Pleasant Hill Park,-74.99284,40.04257,1479,POINT (-74.99284 40.04257),250,0.6633873372725976,0.6173958477241827,12.04,0.81,0.68,21.91,64.57,0.0,14.05,0.65,1.17,25.16,58.97,0.0,Relaxation,0.6633873372725976
Tacony Creek Park,-75.10776,40.0166,1018,POINT (-75.10776 40.0166),250,0.6179832890629768,0.5932561086275456,9.83,0.14,1.97,31.32,56.74,0.0,11.32,0.14,1.4,31.76,55.37,0.0,Relaxation,0.6179832890629768
Sherwood Park,-75.23751,39.94671,61,POINT (-75.23751 39.94671),50,0.7523521556228888,0.8309664693081044,8.2,0.0,0.0,27.87,63.93,0.0,8.25,0.0,0.0,16.13,75.62,0.0,Relaxation,0.7523521556228888
Hunting Park,-75.14382,40.01667,695,POINT (-75.14382 40.01667),200,0.5420089316882676,0.5125394153337374,7.48,1.15,1.44,37.99,51.94,0.0,8.13,1.13,2.39,35.58,52.77,0.0,Relaxation,0.5420089316882676
Schuylkill River Park,-75.181766,39.948818,715,POINT (-75.181766 39.948818),200,0.8390702661100801,0.7929100083660329,13.43,0.56,0.42,13.99,71.61,0.0,12.54,1.05,0.5,13.67,72.25,0.0,Relaxation,0.8390702661100801
Carroll Park,-75.23669,39.97104,159,POINT (-75.23669 39.97104),100,0.6905812369952412,0.6300581251069974,13.84,0.63,1.26,30.19,54.09,0.0,12.09,0.15,2.13,42.36,43.27,0.0,Relaxation,0.6905812369952412
Jose Manuel Collazo Park,-75.130633,39.999641,25,POINT (-75.130633 39.999641),50,0.9188551449775696,0.831863360616381,12.0,0.0,4.0,12.0,72.0,0.0,15.03,0.0,1.27,5.87,77.83,0.0,Relaxation,0.9188551449775696
Norman (Butch) Ellis Playground,-75.200936,39.965954,35,POINT (-75.200936 39.965954),50,0.46953962189810616,0.7413643567240797,5.71,2.86,2.86,37.14,51.43,0.0,4.22,34.37,0.79,19.13,41.49,0.0,Relaxation,0.46953962189810616
