"ParkName","Long","Lat","ReviewCount","Discovery_percentage_weighted","Engagement_percentage_weighted","Frustration...Annoyance_percentage_weighted","Inspiration_percentage_weighted","Relaxation_percentage_weighted","Sorrow_percentage_weighted","buffered_geometry","index_right","OBJECTID","PUBLIC_NAME","PARENT_NAME","Shape__Area","median_NDVI","Adult_Exercise_Equipment","Art_Monuments","Boat_Launches","Hydration_Stations","Picnic_Sites","Playground","Playstreets_Locations","Pools_Sprayground","Tennis_Court","Urban_Agriculture","totalPop","median_HH_income","vacantPct","seniorPct","kidPct","pctWhitePop","pctBlackPop","popDensity","WhiteHOrate","houseprice"
"Delancey Park",-75.1479,39.94408,7,10.80638,0,0,21.48998,67.70364,0,"POLYGON ((-44.66938735141726 39.94408, -44.81614972044509 36.95666334868758, -45.255023425686375 33.99801715281535, -45.98178187344686 31.09663479261011, -46.98942598258804 28.280458166257553, -48.26825158950458 25.576608594148198, -49.805942904524684 23.01112562573599, -51.58769111969714 20.608716264442382, -53.596337025707186 18.39251702570718, -55.812536264442386 16.38387111969714, -58.21494562573599 14.60212290452468, -60.7804285941482 13.064431589504576, -63.48427816625755 11.78560598258803, -66.30045479261011 10.777961873446849, -69.20183715281536 10.051203425686364, -72.16048334868758 9.612329720445086, -75.1479 9.465567351417253, -78.13531665131244 9.612329720445082, -81.09396284718466 10.051203425686364, -83.99534520738989 10.777961873446849, -86.81152183374246 11.78560598258803, -89.51537140585181 13.064431589504572, -92.080854374264 14.602122904524677, -94.48326373555761 16.383871119697133, -96.69946297429283 18.39251702570718, -98.70810888030287 20.608716264442382, -100.48985709547533 23.01112562573599, -102.02754841049543 25.57660859414819, -103.30637401741197 28.280458166257546, -104.31401812655315 31.096634792610107, -105.04077657431364 33.99801715281534, -105.47965027955492 36.95666334868757, -105.62641264858276 39.94407999999999, -105.47965027955493 42.93149665131242, -105.04077657431364 45.89014284718465, -104.31401812655315 48.79152520738988, -103.30637401741198 51.607701833742446, -102.02754841049543 54.3115514058518, -100.48985709547533 56.877034374264, -98.70810888030287 59.27944373555761, -96.69946297429283 61.49564297429282, -94.48326373555764 63.50428888030285, -92.08085437426402 65.28603709547532, -89.51537140585181 66.82372841049542, -86.81152183374247 68.10255401741196, -83.9953452073899 69.11019812655314, -81.09396284718467 69.83695657431363, -78.13531665131242 70.27583027955492, -75.1479 70.42259264858275, -72.1604833486876 70.27583027955492, -69.20183715281536 69.83695657431363, -66.30045479261013 69.11019812655314, -63.48427816625755 68.10255401741196, -60.780428594148205 66.82372841049542, -58.21494562573601 65.28603709547532, -55.812536264442386 63.50428888030286, -53.596337025707186 61.49564297429282, -51.587691119697155 59.279443735557635, -49.805942904524684 56.877034374264014, -48.26825158950459 54.31155140585181, -46.989425982588045 51.60770183374247, -45.98178187344686 48.791525207389896, -45.255023425686375 45.89014284718466, -44.81614972044509 42.93149665131242, -44.66938735141726 39.94408))",341,342,"Delancey Park","Delancey Park",4038.71875,0.250358238293236,0,0,0,0,1,1,0,0,0,0,765,120357,0.0254957507082153,0.061437908496732,0.934640522875817,0.979084967320261,0,0.0109183134888262,0.979651162790698,966900
"Mifflin Square",-75.156519,39.919477,13,0,0,0,52.95144,47.04856,0,"POLYGON ((-44.67800635141725 39.919477, -44.824768720445086 36.93206034868758, -45.26364242568637 33.97341415281535, -45.99040087344686 31.07203179261011, -46.998044982588034 28.255855166257554, -48.276870589504576 25.5520055941482, -49.81456190452468 22.98652262573599, -51.59631011969714 20.584113264442383, -53.60495602570718 18.36791402570718, -55.82115526444238 16.35926811969714, -58.22356462573599 14.577519904524681, -60.789047594148194 13.039828589504577, -63.49289716625755 11.761002982588032, -66.3090737926101 10.75335887344685, -69.21045615281535 10.026600425686365, -72.16910234868757 9.587726720445087, -75.156519 9.440964351417254, -78.14393565131243 9.587726720445083, -81.10258184718465 10.026600425686365, -84.00396420738988 10.75335887344685, -86.82014083374244 11.761002982588032, -89.5239904058518 13.039828589504573, -92.089473374264 14.577519904524678, -94.49188273555762 16.359268119697134, -96.70808197429282 18.36791402570718, -98.71672788030287 20.584113264442383, -100.49847609547533 22.98652262573599, -102.03616741049542 25.55200559414819, -103.31499301741198 28.255855166257547, -104.32263712655315 31.072031792610108, -105.04939557431364 33.973414152815344, -105.48826927955491 36.93206034868757, -105.63503164858275 39.91947699999999, -105.48826927955491 42.90689365131242, -105.04939557431364 45.86553984718465, -104.32263712655316 48.76692220738988, -103.31499301741198 51.58309883374245, -102.03616741049544 54.2869484058518, -100.49847609547533 56.852431374264, -98.71672788030287 59.25484073555761, -96.70808197429282 61.47103997429282, -94.49188273555764 63.47968588030285, -92.08947337426402 65.26143409547532, -89.5239904058518 66.79912541049542, -86.82014083374247 68.07795101741196, -84.0039642073899 69.08559512655314, -81.10258184718467 69.81235357431363, -78.14393565131242 70.25122727955491, -75.156519 70.39798964858275, -72.1691023486876 70.25122727955491, -69.21045615281535 69.81235357431363, -66.30907379261012 69.08559512655316, -63.49289716625755 68.07795101741196, -60.7890475941482 66.79912541049544, -58.223564625736 65.26143409547532, -55.82115526444238 63.47968588030286, -53.60495602570718 61.47103997429282, -51.59631011969715 59.254840735557636, -49.81456190452468 56.852431374264015, -48.27687058950458 54.28694840585181, -46.99804498258804 51.58309883374247, -45.99040087344686 48.7669222073899, -45.26364242568637 45.865539847184664, -44.824768720445086 42.90689365131242, -44.67800635141725 39.919477))",196,197,"Mifflin Square","Mifflin Square",28736.80078125,0.284347893376049,0,0,0,0,1,1,0,0,0,0,3070,31830,0.153381642512077,0.00162866449511401,0.887296416938111,0.410749185667752,0.131270358306189,0.0269253682792088,0.320970042796006,158200
"William Lanier Park",-75.19388,39.93362,11,8.38614,0,0,8.64486,82.96899,0,"POLYGON ((-44.71536735141724 39.93362, -44.862129720445076 36.946203348687575, -45.30100342568636 33.987557152815356, -46.02776187344685 31.08617479261011, -47.035405982588024 28.26999816625755, -48.314231589504566 25.566148594148196, -49.85192290452467 23.000665625735987, -51.63367111969713 20.59825626444238, -53.64231702570717 18.382057025707176, -55.85851626444237 16.37341111969714, -58.26092562573598 14.591662904524679, -60.826408594148184 13.053971589504574, -63.53025816625754 11.775145982588029, -66.3464347926101 10.767501873446847, -69.24781715281534 10.040743425686362, -72.20646334868756 9.601869720445084, -75.19388 9.45510735141725, -78.18129665131242 9.60186972044508, -81.13994284718464 10.040743425686362, -84.04132520738987 10.767501873446847, -86.85750183374245 11.775145982588029, -89.5613514058518 13.05397158950457, -92.12683437426399 14.591662904524675, -94.5292437355576 16.37341111969713, -96.74544297429281 18.382057025707176, -98.75408888030286 20.59825626444238, -100.53583709547532 23.000665625735987, -102.07352841049541 25.56614859414819, -103.35235401741195 28.269998166257544, -104.35999812655314 31.086174792610105, -105.08675657431363 33.98755715281534, -105.5256302795549 36.94620334868757, -105.67239264858274 39.93361999999999, -105.52563027955492 42.92103665131242, -105.08675657431363 45.87968284718465, -104.35999812655314 48.78106520738988, -103.35235401741197 51.597241833742444, -102.07352841049541 54.3010914058518, -100.53583709547532 56.866574374264005, -98.75408888030286 59.26898373555761, -96.74544297429281 61.48518297429282, -94.52924373555763 63.49382888030285, -92.126834374264 65.27557709547531, -89.5613514058518 66.81326841049543, -86.85750183374246 68.09209401741197, -84.04132520738989 69.09973812655315, -81.13994284718466 69.82649657431364, -78.18129665131241 70.26537027955492, -75.19388 70.41213264858274, -72.20646334868759 70.26537027955492, -69.24781715281534 69.82649657431364, -66.34643479261011 69.09973812655315, -63.53025816625754 68.09209401741197, -60.82640859414819 66.81326841049543, -58.26092562573599 65.27557709547533, -55.85851626444237 63.49382888030286, -53.64231702570717 61.485182974292826, -51.63367111969714 59.268983735557626, -49.85192290452467 56.866574374264005, -48.31423158950457 54.30109140585181, -47.03540598258803 51.597241833742466, -46.02776187344685 48.781065207389894, -45.30100342568636 45.87968284718466, -44.862129720445076 42.92103665131242, -44.71536735141724 39.93362))",406,407,"William Lanier Park","William Lanier Park",28390.578125,0.343332874638778,1,0,0,0,1,0,0,0,0,0,1309,17123,0,0,0.928189457601222,0.106951871657754,0.72498090145149,0.00848509239869826,0.151767151767152,158900
"Marian Winfield Hissey Recreation Center",-75.12334,39.99433,4,0,0,0,43.16705,56.83295,0,"POLYGON ((-44.64482735141725 39.99433, -44.79158972044508 37.006913348687576, -45.23046342568637 34.048267152815356, -45.957221873446855 31.14688479261011, -46.96486598258803 28.33070816625755, -48.24369158950457 25.626858594148196, -49.781382904524676 23.061375625735987, -51.56313111969713 20.65896626444238, -53.57177702570718 18.442767025707177, -55.78797626444238 16.43412111969714, -58.190385625735985 14.652372904524679, -60.75586859414819 13.114681589504574, -63.459718166257545 11.83585598258803, -66.2758947926101 10.828211873446847, -69.17727715281535 10.101453425686362, -72.13592334868757 9.662579720445084, -75.12334 9.515817351417251, -78.11075665131243 9.66257972044508, -81.06940284718465 10.101453425686362, -83.97078520738988 10.828211873446847, -86.78696183374245 11.83585598258803, -89.4908114058518 13.11468158950457, -92.056294374264 14.652372904524675, -94.4587037355576 16.43412111969713, -96.67490297429282 18.442767025707177, -98.68354888030287 20.65896626444238, -100.46529709547532 23.061375625735987, -102.00298841049542 25.62685859414819, -103.28181401741196 28.330708166257544, -104.28945812655314 31.146884792610106, -105.01621657431363 34.04826715281534, -105.45509027955491 37.00691334868757, -105.60185264858275 39.99432999999999, -105.45509027955492 42.98174665131242, -105.01621657431363 45.94039284718465, -104.28945812655314 48.84177520738988, -103.28181401741197 51.657951833742445, -102.00298841049542 54.3618014058518, -100.46529709547532 56.927284374264005, -98.68354888030287 59.32969373555761, -96.67490297429282 61.54589297429282, -94.45870373555763 63.55453888030285, -92.05629437426401 65.33628709547531, -89.4908114058518 66.87397841049543, -86.78696183374247 68.15280401741197, -83.9707852073899 69.16044812655315, -81.06940284718466 69.88720657431364, -78.11075665131241 70.32608027955492, -75.12334 70.47284264858274, -72.1359233486876 70.32608027955492, -69.17727715281535 69.88720657431364, -66.27589479261012 69.16044812655315, -63.459718166257545 68.15280401741197, -60.7558685941482 66.87397841049543, -58.190385625736 65.33628709547533, -55.78797626444238 63.55453888030286, -53.57177702570718 61.545892974292826, -51.56313111969715 59.329693735557626, -49.781382904524676 56.927284374264005, -48.24369158950458 54.36180140585181, -46.96486598258804 51.657951833742466, -45.957221873446855 48.841775207389894, -45.23046342568637 45.94039284718466, -44.79158972044508 42.98174665131242, -44.64482735141725 39.99433))",276,277,"Marian Winfield Hissey Recreation Center","Marian Winfield Hissey Recreation Center",9949.08984375,0.155589160889825,1,0,0,0,0,1,0,0,0,0,1022,10386,0.0392670157068063,0,0.920743639921722,0.347358121330724,0.217221135029354,0.0084950049344544,0.294277929155313,44700
"Palmer Park",-75.13254,39.97489,15,12.61043,0,7.1282,11.40821,68.85316,0,"POLYGON ((-44.654027351417255 39.97489, -44.80078972044509 36.98747334868758, -45.23966342568637 34.02882715281535, -45.96642187344686 31.127444792610113, -46.97406598258804 28.311268166257555, -48.25289158950458 25.6074185941482, -49.79058290452468 23.04193562573599, -51.57233111969714 20.639526264442384, -53.580977025707185 18.42332702570718, -55.797176264442385 16.414681119697143, -58.19958562573599 14.632932904524683, -60.7650685941482 13.095241589504578, -63.46891816625755 11.816415982588033, -66.28509479261011 10.808771873446851, -69.18647715281536 10.082013425686366, -72.14512334868758 9.643139720445088, -75.13254 9.496377351417255, -78.11995665131244 9.643139720445085, -81.07860284718465 10.082013425686366, -83.97998520738989 10.808771873446851, -86.79616183374245 11.816415982588033, -89.50001140585181 13.095241589504575, -92.065494374264 14.63293290452468, -94.46790373555763 16.414681119697136, -96.68410297429283 18.42332702570718, -98.69274888030287 20.639526264442384, -100.47449709547533 23.04193562573599, -102.01218841049543 25.607418594148193, -103.29101401741198 28.31126816625755, -104.29865812655315 31.12744479261011, -105.02541657431364 34.028827152815346, -105.46429027955492 36.98747334868757, -105.61105264858276 39.974889999999995, -105.46429027955492 42.962306651312424, -105.02541657431364 45.92095284718465, -104.29865812655316 48.822335207389884, -103.29101401741198 51.63851183374245, -102.01218841049544 54.342361405851804, -100.47449709547533 56.907844374264, -98.69274888030287 59.31025373555761, -96.68410297429283 61.52645297429282, -94.46790373555764 63.535098880302854, -92.06549437426402 65.31684709547532, -89.50001140585181 66.85453841049542, -86.79616183374247 68.13336401741196, -83.9799852073899 69.14100812655315, -81.07860284718467 69.86776657431363, -78.11995665131242 70.30664027955493, -75.13254 70.45340264858275, -72.1451233486876 70.30664027955493, -69.18647715281536 69.86776657431363, -66.28509479261012 69.14100812655315, -63.46891816625755 68.13336401741196, -60.765068594148204 66.85453841049542, -58.199585625736006 65.31684709547532, -55.797176264442385 63.53509888030286, -53.580977025707185 61.52645297429282, -51.572331119697154 59.31025373555764, -49.79058290452468 56.907844374264016, -48.252891589504586 54.34236140585181, -46.974065982588044 51.63851183374247, -45.96642187344686 48.8223352073899, -45.23966342568637 45.920952847184665, -44.80078972044509 42.962306651312424, -44.654027351417255 39.97489))",306,307,"Palmer Park","Palmer Park",5627.87109375,0.224942133688714,0,0,0,0,0,0,0,0,0,0,1214,44583,0,0,0.883855024711697,0.900329489291598,0.0115321252059308,0.00954784122147679,0.843177189409369,197200
"Disston Park",-75.04233,40.022058,3,0,0,0,30.93759,69.06241,0,"POLYGON ((-44.563817351417256 40.022058, -44.71057972044509 37.03464134868758, -45.149453425686374 34.07599515281535, -45.87621187344686 31.174612792610112, -46.88385598258804 28.358436166257555, -48.16268158950458 25.6545865941482, -49.700372904524684 23.08910362573599, -51.48212111969714 20.686694264442384, -53.490767025707186 18.47049502570718, -55.706966264442386 16.461849119697142, -58.10937562573599 14.680100904524682, -60.6748585941482 13.142409589504577, -63.37870816625755 11.863583982588032, -66.19488479261011 10.85593987344685, -69.09626715281536 10.129181425686365, -72.05491334868758 9.690307720445087, -75.04233 9.543545351417254, -78.02974665131244 9.690307720445084, -80.98839284718466 10.129181425686365, -83.88977520738989 10.85593987344685, -86.70595183374246 11.863583982588032, -89.40980140585181 13.142409589504574, -91.975284374264 14.680100904524679, -94.37769373555761 16.461849119697135, -96.59389297429283 18.47049502570718, -98.60253888030287 20.686694264442384, -100.38428709547533 23.08910362573599, -101.92197841049543 25.654586594148192, -103.20080401741197 28.358436166257547, -104.20844812655315 31.17461279261011, -104.93520657431364 34.075995152815345, -105.37408027955492 37.03464134868757, -105.52084264858276 40.022057999999994, -105.37408027955493 43.00947465131242, -104.93520657431364 45.96812084718465, -104.20844812655315 48.86950320738988, -103.20080401741198 51.68567983374245, -101.92197841049543 54.3895294058518, -100.38428709547533 56.955012374264, -98.60253888030287 59.35742173555761, -96.59389297429283 61.57362097429282, -94.37769373555764 63.58226688030285, -91.97528437426402 65.36401509547532, -89.40980140585181 66.90170641049542, -86.70595183374247 68.18053201741196, -83.8897752073899 69.18817612655315, -80.98839284718467 69.91493457431363, -78.02974665131242 70.35380827955493, -75.04233 70.50057064858275, -72.0549133486876 70.35380827955493, -69.09626715281536 69.91493457431363, -66.19488479261013 69.18817612655315, -63.37870816625755 68.18053201741196, -60.674858594148205 66.90170641049542, -58.10937562573601 65.36401509547532, -55.706966264442386 63.58226688030286, -53.490767025707186 61.57362097429282, -51.482121119697155 59.35742173555764, -49.700372904524684 56.955012374264015, -48.16268158950459 54.38952940585181, -46.883855982588045 51.68567983374247, -45.87621187344686 48.8695032073899, -45.149453425686374 45.968120847184665, -44.71057972044509 43.00947465131242, -44.563817351417256 40.022058))",77,78,"Disston Park","Disston Park",162358.171875,0.330651244656776,0,0,0,0,0,0,0,0,1,0,1934,35927,0.0983379501385042,0.0046535677352637,0.917269906928645,0.74612202688728,0.174250258531541,0.00736809808968466,0.889400921658986,93800
"Sedgley Woods Disc Golf Course",-75.191342,39.981548,18,10.98882,0,0,21.09202,67.91915,0,"POLYGON ((-44.712829351417255 39.981548, -44.85959172044509 36.994131348687574, -45.29846542568637 34.035485152815355, -46.02522387344686 31.134102792610108, -47.03286798258804 28.31792616625755, -48.31169358950458 25.614076594148194, -49.84938490452468 23.048593625735986, -51.63113311969714 20.64618426444238, -53.639779025707185 18.429985025707175, -55.855978264442385 16.421339119697137, -58.25838762573599 14.639590904524677, -60.8238705941482 13.101899589504573, -63.52772016625755 11.823073982588028, -66.34389679261011 10.815429873446845, -69.24527915281536 10.08867142568636, -72.20392534868758 9.649797720445083, -75.191342 9.50303535141725, -78.17875865131244 9.649797720445079, -81.13740484718465 10.08867142568636, -84.03878720738989 10.815429873446845, -86.85496383374246 11.823073982588028, -89.55881340585181 13.10189958950457, -92.124296374264 14.639590904524674, -94.52670573555761 16.42133911969713, -96.74290497429283 18.429985025707175, -98.75155088030287 20.64618426444238, -100.53329909547533 23.048593625735986, -102.07099041049543 25.614076594148187, -103.34981601741197 28.317926166257543, -104.35746012655315 31.134102792610104, -105.08421857431364 34.03548515281534, -105.52309227955492 36.99413134868757, -105.66985464858276 39.98154799999999, -105.52309227955493 42.96896465131242, -105.08421857431364 45.927610847184646, -104.35746012655315 48.82899320738988, -103.34981601741198 51.64516983374244, -102.07099041049543 54.3490194058518, -100.53329909547533 56.914502374264, -98.75155088030287 59.31691173555761, -96.74290497429283 61.53311097429282, -94.52670573555764 63.54175688030285, -92.12429637426402 65.32350509547531, -89.55881340585181 66.86119641049542, -86.85496383374247 68.14002201741195, -84.0387872073899 69.14766612655315, -81.13740484718467 69.87442457431362, -78.17875865131242 70.31329827955491, -75.191342 70.46006064858274, -72.2039253486876 70.31329827955491, -69.24527915281536 69.87442457431364, -66.34389679261012 69.14766612655315, -63.52772016625755 68.14002201741197, -60.823870594148204 66.86119641049542, -58.258387625736006 65.32350509547533, -55.855978264442385 63.541756880302856, -53.639779025707185 61.533110974292825, -51.631133119697154 59.316911735557625, -49.84938490452468 56.914502374264, -48.311693589504586 54.349019405851806, -47.032867982588044 51.645169833742465, -46.02522387344686 48.82899320738989, -45.29846542568637 45.92761084718466, -44.85959172044509 42.96896465131242, -44.712829351417255 39.981548))",8,9,"East Fairmount Park","East Fairmount Park",3107464.43359375,0.435170960593159,0,1,1,1,1,1,0,0,0,1,1248,70268,0,0,0.862179487179487,0.619391025641026,0.118589743589744,0.000119798103641123,0.602409638554217,270800
"Schuylkill Banks",-75.180653,39.952195,20,12.46363,0,4.61523,0,82.92115,0,"POLYGON ((-44.702140351417256 39.952195, -44.84890272044509 36.96477834868758, -45.287776425686374 34.006132152815354, -46.01453487344686 31.104749792610114, -47.02217898258804 28.288573166257557, -48.30100458950458 25.5847235941482, -49.838695904524684 23.019240625735993, -51.62044411969714 20.616831264442386, -53.629090025707185 18.400632025707182, -55.845289264442386 16.391986119697144, -58.24769862573599 14.610237904524684, -60.8131815941482 13.07254658950458, -63.51703116625755 11.793720982588034, -66.33320779261011 10.786076873446852, -69.23459015281536 10.059318425686367, -72.19323634868758 9.62044472044509, -75.180653 9.473682351417256, -78.16806965131244 9.620444720445086, -81.12671584718466 10.059318425686367, -84.02809820738989 10.786076873446852, -86.84427483374245 11.793720982588034, -89.54812440585181 13.072546589504576, -92.113607374264 14.61023790452468, -94.51601673555763 16.391986119697137, -96.73221597429283 18.400632025707182, -98.74086188030287 20.616831264442386, -100.52261009547533 23.019240625735993, -102.06030141049543 25.584723594148194, -103.33912701741198 28.28857316625755, -104.34677112655315 31.10474979261011, -105.07352957431364 34.00613215281535, -105.51240327955492 36.964778348687574, -105.65916564858276 39.952194999999996, -105.51240327955492 42.939611651312426, -105.07352957431364 45.89825784718465, -104.34677112655316 48.799640207389885, -103.33912701741198 51.61581683374245, -102.06030141049544 54.319666405851805, -100.52261009547533 56.885149374264, -98.74086188030287 59.28755873555761, -96.73221597429283 61.503757974292824, -94.51601673555764 63.512403880302855, -92.11360737426402 65.29415209547533, -89.54812440585181 66.83184341049542, -86.84427483374247 68.11066901741196, -84.0280982073899 69.11831312655315, -81.12671584718467 69.84507157431364, -78.16806965131242 70.28394527955493, -75.180653 70.43070764858275, -72.1932363486876 70.28394527955493, -69.23459015281536 69.84507157431364, -66.33320779261012 69.11831312655315, -63.51703116625755 68.11066901741196, -60.813181594148205 66.83184341049542, -58.24769862573601 65.29415209547533, -55.845289264442386 63.51240388030286, -53.629090025707185 61.503757974292824, -51.620444119697154 59.28755873555764, -49.838695904524684 56.88514937426402, -48.301004589504586 54.31966640585181, -47.022178982588045 51.61581683374247, -46.01453487344686 48.7996402073899, -45.287776425686374 45.89825784718467, -44.84890272044509 42.939611651312426, -44.702140351417256 39.952195))",1,2,"Schuylkill Banks","Schuylkill Banks",101477.171875,0.222291064298499,0,0,1,1,0,0,0,0,0,0,755,NA,0.11969696969697,0,0.788079470198676,0.528476821192053,0.172185430463576,0.0103170482214306,0.562822719449225,NA
"Fish Hatchery at Pleasant Hill Park",-74.992837,40.042569,135,17.74474,0,1.65613,29.47865,51.12048,0,"POLYGON ((-44.514324351417244 40.042569, -44.66108672044508 37.05515234868758, -45.09996042568636 34.09650615281535, -45.82671887344685 31.19512379261011, -46.834362982588026 28.378947166257554, -48.11318858950457 25.6750975941482, -49.65087990452467 23.10961462573599, -51.43262811969713 20.707205264442383, -53.44127402570717 18.49100602570718, -55.65747326444237 16.48236011969714, -58.05988262573598 14.700611904524681, -60.625365594148185 13.162920589504576, -63.32921516625754 11.884094982588032, -66.1453917926101 10.87645087344685, -69.04677415281535 10.149692425686364, -72.00542034868757 9.710818720445086, -74.992837 9.564056351417253, -77.98025365131242 9.710818720445083, -80.93889984718464 10.149692425686364, -83.84028220738988 10.87645087344685, -86.65645883374245 11.884094982588032, -89.3603084058518 13.162920589504573, -91.925791374264 14.700611904524678, -94.3282007355576 16.482360119697134, -96.54439997429282 18.49100602570718, -98.55304588030286 20.707205264442383, -100.33479409547532 23.10961462573599, -101.87248541049541 25.67509759414819, -103.15131101741196 28.378947166257547, -104.15895512655314 31.195123792610108, -104.88571357431363 34.096506152815344, -105.3245872795549 37.05515234868757, -105.47134964858274 40.04256899999999, -105.32458727955492 43.02998565131242, -104.88571357431363 45.98863184718465, -104.15895512655314 48.89001420738988, -103.15131101741197 51.70619083374245, -101.87248541049541 54.4100404058518, -100.33479409547532 56.975523374264, -98.55304588030286 59.37793273555761, -96.54439997429282 61.59413197429282, -94.32820073555763 63.60277788030285, -91.92579137426401 65.38452609547532, -89.3603084058518 66.92221741049542, -86.65645883374246 68.20104301741196, -83.84028220738989 69.20868712655314, -80.93889984718466 69.93544557431363, -77.98025365131241 70.37431927955492, -74.992837 70.52108164858275, -72.0054203486876 70.37431927955492, -69.04677415281535 69.93544557431363, -66.14539179261011 69.20868712655314, -63.32921516625754 68.20104301741196, -60.62536559414819 66.92221741049542, -58.059882625735995 65.38452609547532, -55.65747326444237 63.60277788030286, -53.44127402570717 61.59413197429282, -51.43262811969714 59.377932735557636, -49.65087990452467 56.975523374264014, -48.113188589504574 54.41004040585181, -46.83436298258803 51.70619083374247, -45.82671887344685 48.890014207389896, -45.09996042568636 45.988631847184664, -44.66108672044508 43.02998565131242, -44.514324351417244 40.042569))",465,466,"Fish Hatchery at Pleasant Hill Park","Pleasant Hill Park",259457.95703125,0.326310192416337,0,0,1,1,1,1,0,0,0,0,3145,NA,NA,0,0.76724960254372,0.203815580286169,0.711923688394277,0.000732212537967601,NA,NA
"Pleasant Hill Park",-74.99284,40.04257,135,17.74474,0,1.65613,29.47865,51.12048,0,"POLYGON ((-44.51432735141725 40.04257, -44.661089720445084 37.055153348687575, -45.09996342568637 34.09650715281535, -45.82672187344686 31.19512479261011, -46.83436598258803 28.37894816625755, -48.113191589504574 25.675098594148196, -49.65088290452468 23.109615625735987, -51.432631119697135 20.70720626444238, -53.44127702570718 18.491007025707177, -55.65747626444238 16.48236111969714, -58.05988562573599 14.700612904524679, -60.62536859414819 13.162921589504574, -63.32921816625755 11.884095982588029, -66.1453947926101 10.876451873446847, -69.04677715281535 10.149693425686362, -72.00542334868757 9.710819720445084, -74.99284 9.56405735141725, -77.98025665131243 9.71081972044508, -80.93890284718465 10.149693425686362, -83.84028520738988 10.876451873446847, -86.65646183374244 11.884095982588029, -89.3603114058518 13.16292158950457, -91.925794374264 14.700612904524675, -94.32820373555762 16.48236111969713, -96.54440297429282 18.491007025707177, -98.55304888030287 20.70720626444238, -100.33479709547532 23.109615625735987, -101.87248841049542 25.67509859414819, -103.15131401741198 28.378948166257544, -104.15895812655315 31.195124792610105, -104.88571657431363 34.09650715281534, -105.32459027955491 37.05515334868757, -105.47135264858275 40.04256999999999, -105.32459027955491 43.02998665131242, -104.88571657431363 45.98863284718465, -104.15895812655316 48.89001520738988, -103.15131401741198 51.706191833742444, -101.87248841049544 54.4100414058518, -100.33479709547532 56.975524374264, -98.55304888030287 59.377933735557605, -96.54440297429282 61.59413297429282, -94.32820373555764 63.60277888030285, -91.92579437426402 65.38452709547532, -89.3603114058518 66.92221841049542, -86.65646183374247 68.20104401741196, -83.8402852073899 69.20868812655314, -80.93890284718466 69.93544657431363, -77.98025665131242 70.37432027955492, -74.99284 70.52108264858275, -72.0054233486876 70.37432027955492, -69.04677715281535 69.93544657431363, -66.14539479261012 69.20868812655314, -63.32921816625755 68.20104401741196, -60.6253685941482 66.92221841049542, -58.059885625736 65.38452709547532, -55.65747626444238 63.60277888030286, -53.44127702570718 61.59413297429282, -51.43263111969715 59.37793373555763, -49.65088290452468 56.97552437426401, -48.11319158950458 54.41004140585181, -46.83436598258804 51.706191833742466, -45.82672187344686 48.890015207389894, -45.09996342568637 45.98863284718466, -44.661089720445084 43.02998665131242, -44.51432735141725 40.04257))",465,466,"Fish Hatchery at Pleasant Hill Park","Pleasant Hill Park",259457.95703125,0.326310192416337,0,0,1,1,1,1,0,0,0,0,3145,NA,NA,0,0.76724960254372,0.203815580286169,0.711923688394277,0.000732212537967601,NA,NA
