ParkName,Long,Lat,review_count_by_park,geometry,size_category,sentiment,weighted_average_sentiment,Discovery_percentage,Engagement_percentage,Frustration & Annoyance_percentage,Inspiration_percentage,Relaxation_percentage,Sorrow_percentage,Discovery_percentage_weighted,Engagement_percentage_weighted,Frustration & Annoyance_percentage_weighted,Inspiration_percentage_weighted,Relaxation_percentage_weighted,Sorrow_percentage_weighted,Dominant_Emotion_weighted
Julian Abele Park,-75.179268,39.940884,47,POINT (-75.179268 39.940884),50,0.6451367710499053,0.6890374371805257,2.13,17.02,6.38,53.19,17.02,4.26,3.57,30.77,8.17,26.06,25.59,5.84,Engagement
Campbell Square,-75.10327,39.98636,206,POINT (-75.10327 39.98636),100,0.6809624624483793,0.7399687959570651,0.0,17.96,3.88,56.8,20.87,0.49,0.0,21.18,0.72,60.71,17.25,0.14,Inspiration
Eakins Oval,-75.178359,39.963627,165,POINT (-75.178359 39.963627),100,0.6771875338120894,0.4525575236186871,1.82,19.39,2.42,52.73,23.64,0.0,5.42,29.52,1.15,44.76,19.15,0.0,Inspiration
Sister Cities Park,-75.16934,39.95791,718,POINT (-75.16934 39.95791),200,0.8977849460245839,0.8388585733624666,0.28,21.73,1.67,60.45,15.88,0.0,0.07,21.36,5.88,60.07,12.62,0.0,Inspiration
Sister Clara Muhammad Square,-75.169339,39.957906,718,POINT (-75.169339 39.957906),200,0.8977849460245839,0.8388585733624666,0.28,21.73,1.67,60.45,15.88,0.0,0.07,21.36,5.88,60.07,12.62,0.0,Inspiration
Cloverly Park,-75.18099,40.0257,51,POINT (-75.18099 40.0257),50,0.7130272283273584,0.6554659857005056,0.0,15.69,1.96,52.94,29.41,0.0,0.0,24.36,7.0,52.41,16.23,0.0,Inspiration
Carroll Park,-75.23669,39.97104,159,POINT (-75.23669 39.97104),100,0.6905812369952412,0.630140552134769,0.63,25.79,5.03,42.14,26.42,0.0,0.15,24.88,2.07,31.88,41.02,0.0,Relaxation
Thomas P Stokley Recreation Center,-75.18719,39.92596,141,POINT (-75.18719 39.92596),100,0.6820808547608396,0.4525846957844685,1.42,24.82,6.38,44.68,21.99,0.71,2.21,25.41,7.28,37.33,18.97,8.8,Inspiration
Blue Bell Park,-75.194634,40.031301,157,POINT (-75.194634 40.031301),100,0.7336247794947047,0.4602434482656579,0.64,12.1,3.82,64.33,19.11,0.0,0.04,11.89,8.32,55.56,24.19,0.0,Inspiration
Giuseppe Bardascino Park,-75.159919,39.937796,42,POINT (-75.159919 39.937796),50,0.5716036473001752,0.7603991787947316,0.0,23.81,4.76,47.62,23.81,0.0,0.0,38.8,1.43,42.37,17.39,0.0,Inspiration
Schuylkill River Park,-75.181766,39.948818,715,POINT (-75.181766 39.948818),200,0.8390702661100801,0.7929012911439263,0.56,15.66,1.96,69.37,12.31,0.14,1.05,15.55,3.54,68.79,10.52,0.54,Inspiration
Rail Park,-75.15963,39.96016,271,POINT (-75.15963 39.96016),150,0.6610747463588785,0.5946309068506183,3.32,30.26,4.8,47.6,13.28,0.74,5.52,29.86,3.56,44.22,15.19,1.66,Inspiration
Philadelphia Vietnam Veterans Memorial,-75.142773,39.943987,43,POINT (-75.142773 39.943987),50,0.8189812954082045,0.6994306588260027,2.33,30.23,2.33,37.21,25.58,2.33,3.78,37.66,3.98,25.75,21.09,7.74,Engagement
Tacony Creek Park,-75.112982,40.0336,1018,POINT (-75.112982 40.0336),250,0.6179832890629768,0.593269650179185,0.28,18.54,5.62,48.31,26.97,0.28,0.19,21.71,5.86,44.9,26.95,0.39,Inspiration
Norman (Butch) Ellis Playground,-75.200936,39.965954,35,POINT (-75.200936 39.965954),50,0.46953962189810616,0.7412035207204521,2.86,22.86,8.57,34.29,31.43,0.0,34.35,10.12,2.58,35.59,17.35,0.0,Inspiration
